Country,pm10_concentration,pm25_concentration,no2_concentration,Total Air Pollutants Concentration,Average pm10_concentration,Average pm25_concentration,Average no2_concentration,Average Air Pollutants Concentration,Year
Australia,530.684,126.687,155.421,812.792,17.11883870967742,4.086677419354839,5.01358064516129,26.21909677419355,2015
Bangladesh,1130.275,703.252,280.955,2114.482,125.58611111111112,78.1391111111111,31.21722222222222,234.94244444444445,2015
Brazil,1755.658,172.35,745.426,2673.434,30.269965517241378,2.971551724137931,12.852172413793104,46.09368965517242,2015
Canada,329.438,1033.378,1228.758,2591.574,2.139207792207792,6.710246753246753,7.978948051948052,16.828402597402597,2015
China,10768.633,24332.529,3728.533,38829.695,21.932042769857432,49.55708553971486,7.5937535641547855,79.08288187372709,2015
Egypt,533.0,0.0,0.0,533.0,266.5,0.0,0.0,266.5,2015
France,5201.701,1491.403,4857.835,11550.939,16.46107911392405,4.719629746835443,15.372895569620253,36.55360443037975,2015
Germany,4815.97,1812.26,7756.886,14385.116,14.956428571428573,5.628136645962733,24.089708074534162,44.674273291925466,2015
India,20345.036,2211.094,227.143,22783.273,102.75270707070707,11.167141414141414,1.1471868686868687,115.06703535353536,2015
Indonesia,0.0,31.486,0.0,31.486,0.0,31.486,0.0,31.486,2015
Iran,77.681,29.829,93.162,200.672,77.681,29.829,93.162,200.672,2015
Italy,8961.193,3462.543,8227.307,20651.043,23.397370757180155,9.04058224543081,21.481219321148828,53.919172323759796,2015
Mexico,1048.779,394.23699999999997,309.867,1752.883,38.843666666666664,14.601370370370368,11.476555555555557,64.92159259259259,2015
Netherlands,724.949,305.666,744.351,1774.966,17.260690476190476,7.277761904761904,17.72264285714286,42.26109523809524,2015
Philippines,110.5,246.0,0.0,356.5,12.277777777777779,27.333333333333332,0.0,39.611111111111114,2015
Poland,5646.757,1656.124,1783.491,9086.372,30.8565956284153,9.049857923497267,9.745852459016394,49.65230601092896,2015
Saudi Arabia,569.0,0.0,0.0,569.0,189.66666666666666,0.0,0.0,189.66666666666666,2015
South Korea,994.284,435.23699999999997,39.0,1468.521,49.7142,21.76185,1.95,73.42605,2015
Spain,5908.412,1854.996,4163.453,11926.861,18.521667711598745,5.815034482758621,13.051576802507839,37.3882789968652,2015
Thailand,79.681,27.87,19.466,127.017,39.8405,13.935,9.733,63.5085,2015
Turkey,7880.465,800.2139999999999,2684.745,11365.423999999999,53.608605442176874,5.443632653061224,18.263571428571428,77.31580952380952,2015
United Arab Emirates,425.443,0.0,78.393,503.836,141.81433333333334,0.0,26.131,167.94533333333334,2015
United Kingdom,824.944,546.146,1928.607,3299.697,9.065318681318681,6.001604395604395,21.193483516483518,36.26040659340659,2015
United States,3078.575,2344.472,1689.465,7112.512,9.501774691358024,7.2360246913580255,5.214398148148148,21.952197530864197,2015
Vietnam,97.9,81.756,0.0,179.656,19.580000000000002,16.3512,0.0,35.931200000000004,2015
Australia,469.909,122.504,129.273,721.686,16.203758620689655,4.224275862068966,4.4576896551724134,24.885724137931035,2016
Bangladesh,770.005,413.056,0.0,1183.061,128.33416666666668,68.84266666666666,0.0,197.17683333333332,2016
Brazil,1030.25,93.6,551.458,1675.308,29.435714285714287,2.674285714285714,15.755942857142855,47.865942857142855,2016
Canada,301.83299999999997,925.461,1428.416,2655.71,1.7651052631578945,5.4120526315789474,8.353309941520468,15.53046783625731,2016
China,18095.766,24790.624,6334.925,49221.315,33.387022140221404,45.739158671586715,11.688053505535056,90.81423431734318,2016
France,4756.65,1414.973,4588.172,10759.795,15.005205047318611,4.4636372239747635,14.473728706624604,33.94257097791798,2016
Germany,4497.064,1804.536,7914.234,14215.834,13.668887537993921,5.484911854103344,24.055422492401217,43.20922188449848,2016
India,2940.309,2774.426,336.58500000000004,6051.32,79.46781081081082,74.98448648648649,9.096891891891893,163.54918918918918,2016
Indonesia,0.0,42.653,0.0,42.653,0.0,42.653,0.0,42.653,2016
Iran,71.507,1718.152,111.971,1901.6299999999999,1.3242037037037038,31.817629629629632,2.073537037037037,35.215370370370366,2016
Italy,8385.204,3231.742,8138.005,19754.951,20.96301,8.079355,20.3450125,49.3873775,2016
Mexico,1052.936,311.474,283.096,1647.506,40.49753846153846,11.97976923076923,10.888307692307693,63.36561538461539,2016
Netherlands,668.756,263.739,759.016,1691.511,16.311121951219512,6.4326585365853655,18.512585365853656,41.25636585365854,2016
Philippines,117.5,322.0,0.0,439.5,9.791666666666666,26.833333333333332,0.0,36.625,2016
Poland,5728.33,1840.105,1800.763,9369.198,30.963945945945945,9.946513513513514,9.733854054054053,50.64431351351352,2016
Russia,28.0,14.0,0.0,42.0,28.0,14.0,0.0,42.0,2016
Saudi Arabia,556.0,0.0,0.0,556.0,185.33333333333334,0.0,0.0,185.33333333333334,2016
South Korea,925.856,462.91700000000003,59.958,1448.731,46.2928,23.145850000000003,2.9979,72.43655,2016
Spain,5368.947,1584.78,3927.253,10880.98,16.673748447204968,4.92167701863354,12.196437888198759,33.79186335403727,2016
Thailand,1100.775,0.0,226.74099999999999,1327.5159999999998,44.031000000000006,0.0,9.06964,53.10063999999999,2016
Turkey,7039.678,641.468,2895.381,10576.527,47.246161073825505,4.305154362416107,19.432087248322148,70.98340268456376,2016
United Kingdom,831.937,557.169,2129.502,3518.608,8.850393617021277,5.927329787234043,22.65427659574468,37.432,2016
United States,2946.127,2107.952,1604.77,6658.849,9.092984567901235,6.506024691358025,4.952993827160494,20.552003086419752,2016
