Country,CPI,Year
United Arab Emirates,4.069966084,2015
Australia,1.508366722,2015
Bangladesh,6.19428023,2015
Brazil,9.029901024,2015
Canada,1.125241361,2015
China,1.437023809,2015
Germany,0.514426137,2015
Egypt,10.37049034,2015
Spain,-0.50036571,2015
France,0.037514381,2015
United Kingdom,0.368046842,2015
Indonesia,6.363121131,2015
India,4.906973441,2015
Iran,12.48468156,2015
Italy,0.0387904,2015
Japan,0.795279631,2015
South Korea,0.706331772,2015
Mexico,2.72064065,2015
Malaysia,2.104389802,2015
Nigeria,9.00943498,2015
Netherlands,0.600248147,2015
Pakistan,2.529328173,2015
Philippines,0.674192537,2015
Poland,-0.874125874,2015
Russia,15.53440505,2015
Saudi Arabia,1.206073222,2015
Thailand,-0.900424963,2015
Turkey,7.670853648,2015
United States,0.118627136,2015
Vietnam,0.631200905,2015
United Arab Emirates,1.617488089,2016
Australia,1.276990945,2016
Bangladesh,5.513525727,2016
Brazil,8.739143523,2016
Canada,1.428759547,2016
China,2.000001822,2016
Germany,0.491747008,2016
Egypt,13.81360621,2016
Spain,-0.202598,2016
France,0.183334861,2016
United Kingdom,1.008417368,2016
Indonesia,3.525805157,2016
India,4.948216341,2016
Iran,7.24542549,2016
Italy,-0.094016657,2016
Japan,-0.127258844,2016
South Korea,0.97168574,2016
Mexico,2.821707847,2016
Malaysia,2.090566595,2016
Nigeria,15.69681264,2016
Netherlands,0.316666667,2016
Pakistan,3.765119164,2016
Philippines,1.253698801,2016
Poland,-0.664767331,2016
Russia,7.04244763,2016
Saudi Arabia,2.068840361,2016
Thailand,0.188149704,2016
Turkey,7.775134153,2016
United States,1.261583206,2016
Vietnam,2.66824817,2016
United Arab Emirates,1.966825578,2017
Australia,1.948647409,2017
Bangladesh,5.702070157,2017
Brazil,3.44637335,2017
Canada,1.596884129,2017
China,1.593136001,2017
Germany,1.509494851,2017
Egypt,29.50660839,2017
Spain,1.956076334,2017
France,1.032282751,2017
United Kingdom,2.557755776,2017
Indonesia,3.80879807,2017
India,3.328173375,2017
Iran,8.044924377,2017
Italy,1.226533166,2017
Japan,0.484199796,2017
South Korea,1.944332308,2017
Mexico,6.04145724,2017
Malaysia,3.871201158,2017
Nigeria,16.50226621,2017
Netherlands,1.381458714,2017
Pakistan,4.08537368,2017
Philippines,2.853187726,2017
Poland,2.075935537,2017
Russia,3.683329444,2017
Saudi Arabia,-0.83819458,2017
Thailand,0.665631893,2017
Turkey,11.14431108,2017
United States,2.130110004,2017
Vietnam,3.520256888,2017
United Arab Emirates,3.068633793,2018
Australia,1.911400944,2018
Bangladesh,5.543621395,2018
Brazil,3.664850284,2018
Canada,2.268225672,2018
China,2.0747904,2018
Germany,1.732168798,2018
Egypt,14.40146578,2018
Spain,1.674981369,2018
France,1.850815083,2018
United Kingdom,2.292839903,2018
Indonesia,3.198346416,2018
India,3.938826467,2018
Iran,18.01411834,2018
Italy,1.137487636,2018
Japan,0.989094598,2018
South Korea,1.47583935,2018
Mexico,4.899350154,2018
Malaysia,0.884709161,2018
Nigeria,12.09510652,2018
Netherlands,1.703497947,2018
Pakistan,5.078057259,2018
Philippines,5.309346616,2018
Poland,1.812951565,2018
Russia,2.878297236,2018
Saudi Arabia,2.45814158,2018
Thailand,1.063897542,2018
Turkey,16.3324639,2018
United States,2.442583297,2018
Vietnam,3.539628059,2018
United Arab Emirates,-1.931081148,2019
Australia,1.610767873,2019
Bangladesh,5.591996399,2019
Brazil,3.732976212,2019
Canada,1.949269024,2019
China,2.899234164,2019
Germany,1.445659769,2019
Egypt,9.152799593,2019
Spain,0.699518994,2019
France,1.108254923,2019
United Kingdom,1.738104601,2019
Indonesia,3.03058665,2019
India,3.729505735,2019
Iran,39.90734557,2019
Italy,0.611246944,2019
Japan,0.468776159,2019
South Korea,0.383000304,2019
Mexico,3.635961421,2019
Malaysia,0.662891866,2019
Nigeria,11.39642234,2019
Netherlands,2.633699102,2019
Pakistan,10.5783618,2019
Philippines,2.392065344,2019
Poland,2.227478809,2019
Russia,4.470366608,2019
Saudi Arabia,-2.093333333,2019
Thailand,0.706728601,2019
Turkey,15.17682157,2019
United States,1.812210075,2019
Vietnam,2.795823675,2019
United Arab Emirates,-2.079403179,2020
Australia,0.846905537,2020
Bangladesh,5.691074747,2020
Brazil,3.211768038,2020
Canada,0.716999632,2020
China,2.419421895,2020
Germany,0.144877926,2020
Egypt,5.04493289,2020
Spain,-0.322753017,2020
France,0.476498853,2020
United Kingdom,0.989486704,2020
Indonesia,1.920968006,2020
India,6.623436776,2020
Iran,30.59413904,2020
Italy,-0.137707574,2020
Japan,-0.024995834,2020
South Korea,0.537288023,2020
Mexico,3.396834156,2020
Malaysia,-1.138702154,2020
Nigeria,13.24602343,2020
Netherlands,1.272460378,2020
Pakistan,9.739993139,2020
Philippines,2.393162393,2020
Poland,3.374469726,2020
Russia,3.381659372,2020
Saudi Arabia,3.44545826,2020
Thailand,-0.845937147,2020
Turkey,12.27895745,2020
United States,1.233584396,2020
Vietnam,3.220934367,2020
United Arab Emirates,-0.013859944,2021
Australia,2.863910422,2021
Bangladesh,5.545654308,2021
Brazil,8.301659756,2021
Canada,3.395193185,2021
China,0.981015136,2021
Germany,3.066666667,2021
Egypt,5.214049405,2021
Spain,3.09313512,2021
France,1.64233141,2021
United Kingdom,2.518371096,2021
Indonesia,1.560129905,2021
