Country,Unemployed Rate,Year
United Arab Emirates,1.792,2015
Australia,6.055,2015
Bangladesh,4.382,2015
Brazil,8.538,2015
Canada,6.945,2015
China,4.65,2015
Germany,4.624,2015
"Egypt, Arab Rep.",13.052,2015
Spain,22.058,2015
France,10.354,2015
United Kingdom,5.301,2015
Indonesia,4.514,2015
India,7.894,2015
"Iran, Islamic Rep.",11.166,2015
Italy,11.896,2015
Japan,3.385,2015
"Korea, Rep.",3.546,2015
Mexico,4.311,2015
Malaysia,3.1,2015
Nigeria,4.137,2015
Netherlands,6.873,2015
Pakistan,3.566,2015
Philippines,3.068,2015
Poland,7.501,2015
Russian Federation,5.571,2015
Saudi Arabia,5.6,2015
Thailand,0.597,2015
Turkiye,10.304,2015
United States,5.28,2015
Viet Nam,1.849,2015
United Arab Emirates,1.64,2016
Australia,5.711,2016
Bangladesh,4.35,2016
Brazil,11.58,2016
Canada,7.038,2016
China,4.56,2016
Germany,4.122,2016
"Egypt, Arab Rep.",12.45,2016
Spain,19.635,2016
France,10.057,2016
United Kingdom,4.81,2016
Indonesia,4.301,2016
India,7.8,2016
"Iran, Islamic Rep.",12.618,2016
Italy,11.688,2016
Japan,3.132,2016
"Korea, Rep.",3.65,2016
Mexico,3.853,2016
Malaysia,3.44,2016
Nigeria,4.498,2016
Netherlands,6.006,2016
Pakistan,2.286,2016
Philippines,2.695,2016
Poland,6.161,2016
Russian Federation,5.559,2016
Saudi Arabia,5.6,2016
Thailand,0.688,2016
Turkiye,10.899,2016
United States,4.869,2016
Viet Nam,1.848,2016
United Arab Emirates,2.462,2017
Australia,5.592,2017
Bangladesh,4.372,2017
Brazil,12.792,2017
Canada,6.426,2017
China,4.47,2017
Germany,3.746,2017
"Egypt, Arab Rep.",11.767,2017
Spain,17.224,2017
France,9.41,2017
United Kingdom,4.33,2017
Indonesia,3.783,2017
India,7.723,2017
"Iran, Islamic Rep.",12.232,2017
Italy,11.211,2017
Japan,2.822,2017
"Korea, Rep.",3.653,2017
Mexico,3.419,2017
Malaysia,3.41,2017
Nigeria,4.826,2017
Netherlands,4.839,2017
Pakistan,3.193,2017
Philippines,2.552,2017
Poland,4.888,2017
Russian Federation,5.212,2017
Saudi Arabia,5.89,2017
Thailand,0.83,2017
Turkiye,10.919,2017
United States,4.355,2017
Viet Nam,1.874,2017
United Arab Emirates,2.236,2018
Australia,5.3,2018
Bangladesh,4.532,2018
Brazil,12.33,2018
Canada,5.837,2018
China,4.31,2018
Germany,3.384,2018
"Egypt, Arab Rep.",9.855,2018
Spain,15.255,2018
France,9.018,2018
United Kingdom,3.996,2018
Indonesia,4.387,2018
India,7.652,2018
"Iran, Islamic Rep.",12.195,2018
Italy,10.61,2018
Japan,2.467,2018
"Korea, Rep.",3.824,2018
Mexico,3.275,2018
Malaysia,3.3,2018
Nigeria,5.065,2018
Netherlands,3.831,2018
Pakistan,4.083,2018
Philippines,2.338,2018
Poland,3.846,2018
Russian Federation,4.846,2018
Saudi Arabia,6.029,2018
Thailand,0.766,2018
Turkiye,10.956,2018
United States,3.896,2018
Viet Nam,1.161,2018
United Arab Emirates,2.331,2019
Australia,5.159,2019
Bangladesh,4.693,2019
Brazil,11.936,2019
Canada,5.69,2019
China,4.56,2019
Germany,3.136,2019
"Egypt, Arab Rep.",7.851,2019
Spain,14.104,2019
France,8.415,2019
United Kingdom,3.737,2019
Indonesia,3.59,2019
India,6.51,2019
"Iran, Islamic Rep.",10.74,2019
Italy,9.952,2019
Japan,2.351,2019
"Korea, Rep.",3.746,2019
Mexico,3.477,2019
Malaysia,3.26,2019
Nigeria,5.206,2019
Netherlands,3.38,2019
Pakistan,4.83,2019
Philippines,2.237,2019
Poland,3.277,2019
Russian Federation,4.496,2019
Saudi Arabia,5.636,2019
Thailand,0.716,2019
Turkiye,13.73,2019
United States,3.669,2019
Viet Nam,1.681,2019
United Arab Emirates,4.294,2020
Australia,6.456,2020
Bangladesh,5.828,2020
Brazil,13.697,2020
Canada,9.657,2020
China,5.0,2020
Germany,3.856,2020
"Egypt, Arab Rep.",7.974,2020
Spain,15.532,2020
France,8.01,2020
United Kingdom,4.472,2020
Indonesia,4.255,2020
India,7.859,2020
"Iran, Islamic Rep.",9.687,2020
Italy,9.164,2020
Japan,2.809,2020
"Korea, Rep.",3.931,2020
Mexico,4.441,2020
Malaysia,4.54,2020
Nigeria,5.712,2020
Netherlands,3.819,2020
Pakistan,6.162,2020
Philippines,2.522,2020
Poland,3.162,2020
Russian Federation,5.589,2020
Saudi Arabia,7.45,2020
Thailand,1.099,2020
Turkiye,13.148,2020
United States,8.055,2020
Viet Nam,2.103,2020
United Arab Emirates,3.105,2021
Australia,5.116,2021
Bangladesh,5.815,2021
Brazil,13.159,2021
Canada,7.527,2021
China,4.55,2021
Germany,3.638,2021
"Egypt, Arab Rep.",7.441,2021
Spain,14.781,2021
France,7.874,2021
United Kingdom,4.826,2021
Indonesia,3.827,2021
India,6.38,2021
"Iran, Islamic Rep.",9.282,2021
Italy,9.497,2021
Japan,2.828,2021
"Korea, Rep.",3.639,2021
Mexico,4.019,2021
Malaysia,4.64,2021
Nigeria,5.393,2021
Netherlands,4.21,2021
Pakistan,6.338,2021
Philippines,3.398,2021
Poland,3.363,2021
