country,human_development_index,year,cpi,unemployed_rate,gdp,gdp_per_capita,happiness_score,total_consumption
United Arab Emirates,0.86,2015,4.069966084,1.792,675000000000.0,75698.87726789631,6.901,2454.767
Australia,0.933,2015,1.508366722,6.055,1140000000000.0,47858.45986438424,7.284,3303.155
Bangladesh,0.604,2015,6.19428023,4.382,552000000000.0,3497.4339479186465,4.694,773.196
Brazil,0.752,2015,9.029901024,8.538,3020000000000.0,14718.194721989092,6.983,8441.885
Canada,0.927,2015,1.125241361,6.945,1570000000000.0,43938.059090812414,7.427,9200.963000000002
China,0.741,2015,1.437023809,4.65,18300000000000.0,13130.370278393468,5.14,74079.257
Germany,0.941,2015,0.514426137,4.624,3630000000000.0,44228.79313440465,6.75,8124.254999999999
Egypt,0.695,2015,10.37049034,13.052,1080000000000.0,11051.556411155228,4.194,1994.28
Spain,0.889,2015,-0.50036571,22.058,1490000000000.0,32090.39135287577,6.329,3425.409000000001
France,0.893,2015,0.037514381,10.354,2460000000000.0,38552.09127229549,6.575,5923.9800000000005
United Kingdom,0.923,2015,0.368046842,5.301,2430000000000.0,37256.014500592784,6.867,4812.640999999999
Indonesia,0.698,2015,6.363121131,4.514,2680000000000.0,10343.81737375973,5.399,3805.0610000000006
India,0.619,2015,4.906973441,7.894,7390000000000.0,5586.353320473986,4.565,16425.467
Iran,0.782,2015,12.48468156,11.166,1330000000000.0,16260.988026435429,4.686,5507.797
Italy,0.881,2015,0.0387904,11.896,2030000000000.0,33702.50694188632,5.948,3947.303
Japan,0.913,2015,0.795279631,3.385,4710000000000.0,37013.48019946981,5.987,11158.998
South Korea,0.908,2015,0.706331772,3.546,1800000000000.0,35297.996273943514,5.984,6668.875
Mexico,0.769,2015,2.72064065,4.311,1920000000000.0,15980.03880086588,7.187,4543.061
Malaysia,0.792,2015,2.104389802,3.1,685000000000.0,22047.81808033092,5.77,2274.299
Nigeria,0.52,2015,9.00943498,4.137,1040000000000.0,5652.303670275561,5.268,0.0
Netherlands,0.932,2015,0.600248147,6.873,761000000000.0,44656.71543696391,7.378,2095.108
Pakistan,0.525,2015,2.529328173,3.566,1010000000000.0,4787.426507789077,5.194,1722.8870000000002
Philippines,0.696,2015,0.674192537,3.068,763000000000.0,7405.512263450662,5.073,947.758
Poland,0.869,2015,-0.874125874,7.501,936000000000.0,24278.173082000983,5.791,2279.01
Russia,0.823,2015,15.53440505,5.571,3460000000000.0,23916.76677607735,5.716,16316.077
Saudi Arabia,0.842,2015,1.206073222,5.6,1590000000000.0,48549.85847563582,6.411,6113.127
Thailand,0.789,2015,-0.900424963,0.597,1000000000000.0,14225.88266196082,6.455,2814.239
Turkey,0.821,2015,7.670853648,10.304,1730000000000.0,21721.067939281857,5.332,3404.784
United States,0.924,2015,0.118627136,5.28,16900000000000.0,52062.831667963495,7.119,53417.831
Vietnam,0.697,2015,0.631200905,1.849,556000000000.0,6030.931301618155,5.36,1804.65
