country,year,total_consumption,happiness_score,aqi_pm25_concentration,aqi_pm25_category,gdp_per_capita,gdp,unemployed_rate,cpi,human_development_index
Australia,2015,3303.155,7.284,22.703763440860214,GOOD,47858.45986438424,1140000000000.0,6.055,1.508366722,0.933
Bangladesh,2015,773.196,4.694,166.87004927674457,UNHEALTHY,3497.4339479186465,552000000000.0,4.382,6.19428023,0.604
Brazil,2015,8441.885,6.983,16.50862068965517,GOOD,14718.194721989092,3020000000000.0,8.538,9.029901024,0.752
Canada,2015,9200.963000000002,7.427,37.27914862914862,GOOD,43938.059090812414,1570000000000.0,6.945,1.125241361,0.927
China,2015,74079.257,5.14,135.61292419326776,UNHEALTHY FOR SENSITIVE,13130.370278393468,18300000000000.0,4.65,1.437023809,0.741
Egypt,2015,1994.28,4.194,0.0,GOOD,11051.556411155228,1080000000000.0,13.052,10.37049034,0.695
France,2015,5923.9800000000005,6.575,26.220165260196904,GOOD,38552.09127229549,2460000000000.0,10.354,0.037514381,0.893
Germany,2015,8124.254999999999,6.75,31.26742581090407,GOOD,44228.79313440465,3630000000000.0,4.624,0.514426137,0.941
India,2015,16425.467,4.565,54.85132810999731,MODERATE,5586.353320473986,7390000000000.0,7.894,4.906973441,0.619
Indonesia,2015,3805.0610000000006,5.399,92.7077566539924,MODERATE,10343.81737375973,2680000000000.0,4.514,6.363121131,0.698
Iran,2015,5507.797,4.686,89.62057034220533,MODERATE,16260.988026435429,1330000000000.0,11.166,12.48468156,0.782
Italy,2015,3947.303,5.948,,,33702.50694188632,2030000000000.0,11.896,0.0387904,0.881
Mexico,2015,4543.061,7.187,61.24970145049993,MODERATE,15980.03880086588,1920000000000.0,4.311,2.72064065,0.769
Netherlands,2015,2095.108,7.378,40.43201058201058,GOOD,44656.71543696391,761000000000.0,6.873,0.600248147,0.932
Philippines,2015,947.758,5.073,84.97084917617236,MODERATE,7405.512263450662,763000000000.0,3.068,0.674192537,0.696
Poland,2015,2279.01,5.791,,,24278.173082000983,936000000000.0,7.501,-0.874125874,0.869
Saudi Arabia,2015,6113.127,6.411,0.0,GOOD,48549.85847563582,1590000000000.0,5.6,1.206073222,0.842
South Korea,2015,6668.875,5.984,74.59051901140684,MODERATE,35297.996273943514,1800000000000.0,3.546,0.706331772,0.908
Spain,2015,3425.409000000001,6.329,32.305747126436785,GOOD,32090.39135287577,1490000000000.0,22.058,-0.50036571,0.889
Thailand,2015,2814.239,6.455,60.00817490494297,MODERATE,14225.88266196082,1000000000000.0,0.597,-0.900424963,0.789
Turkey,2015,3404.784,5.332,30.24240362811791,GOOD,21721.067939281857,1730000000000.0,10.304,7.670853648,0.821
United Arab Emirates,2015,2454.767,6.901,0.0,GOOD,75698.87726789631,675000000000.0,1.792,4.069966084,0.86
United Kingdom,2015,4812.640999999999,6.867,33.342246642246636,GOOD,37256.014500592784,2430000000000.0,5.301,0.368046842,0.923
United States,2015,53417.831,7.119,40.20013717421125,GOOD,52062.831667963495,16900000000000.0,5.28,0.118627136,0.924
Vietnam,2015,1804.65,5.36,64.5098403041825,MODERATE,6030.931301618155,556000000000.0,1.849,0.631200905,0.697
Australia,2016,3328.46,7.313,23.468199233716476,GOOD,48355.68757530778,1170000000000.0,5.711,1.276990945,0.936
Bangladesh,2016,776.258,4.643,160.3532284215546,UNHEALTHY,3692.4715436864194,590000000000.0,4.35,5.513525727,0.613
Brazil,2016,8339.423999999999,6.952,14.857142857142854,GOOD,14115.855516754786,2920000000000.0,11.58,8.739143523,0.753
Canada,2016,9149.729,7.404,30.066959064327484,GOOD,43750.91309263242,1580000000000.0,7.038,1.428759547,0.928
China,2016,74691.73900000002,5.245,126.21199873908289,UNHEALTHY FOR SENSITIVE,13909.79654159145,19500000000000.0,4.56,2.000001822,0.749
France,2016,5827.787,6.478,24.79798457763758,GOOD,38912.74356408226,2490000000000.0,10.057,0.183334861,0.896
Germany,2016,8246.277999999998,6.994,30.471732522796355,GOOD,45061.769361669794,3710000000000.0,4.122,0.491747008,0.941
India,2016,17147.697000000004,4.404,164.65865290182887,UNHEALTHY,6021.052971783774,8060000000000.0,7.8,4.948216341,0.63
Indonesia,2016,3900.444,5.314,118.61291457286433,UNHEALTHY FOR SENSITIVE,10769.51729831948,2820000000000.0,4.301,3.525805157,0.701
Iran,2016,5811.380999999999,4.813,93.32562174341643,MODERATE,16925.504444853537,1410000000000.0,12.618,7.24542549,0.785
Italy,2016,3957.812,5.977,44.885305555555554,GOOD,34099.24790698817,2050000000000.0,11.688,-0.094016657,0.886
Mexico,2016,4640.432,6.778,56.36534951740275,MODERATE,16129.135255175755,1960000000000.0,3.853,2.821707847,0.773
Netherlands,2016,2133.1020000000003,7.339,35.7369918699187,GOOD,45431.95157911653,778000000000.0,6.006,0.316666667,0.933
Philippines,2016,1032.387,5.279,84.03929024081114,MODERATE,7790.206255674836,817000000000.0,2.695,1.253698801,0.696
Poland,2016,2370.901,5.835,52.57715445483507,MODERATE,25018.096596220483,964000000000.0,6.161,-0.664767331,0.872
Russia,2016,16669.551000000003,5.856,60.129277566539926,MODERATE,23844.119769923265,3460000000000.0,5.559,7.04244763,0.826
Saudi Arabia,2016,6359.564999999999,6.379,0.0,GOOD,48778.63096158662,1630000000000.0,5.6,2.068840361,0.846
South Korea,2016,6872.698000000001,5.835,77.1690741444867,MODERATE,36250.25492114751,1860000000000.0,3.65,0.97168574,0.912
Spain,2016,3465.6510000000003,6.361,27.342650103519667,GOOD,32922.11531261377,1530000000000.0,19.635,-0.202598,0.894
