country,year,total_consumption,energy_consumption_per_capita,happiness_score,average_pm25_concentration,aqi_pm25_concentration,aqi_pm25_category,gdp,gdp_per_capita,unemployed_rate,cpi,hdi
Australia,2015,5318.155000000001,0.0002232620242281,7.284,4.086677419354839,22.703763440860214,GOOD,1140000000000.0,47858.45986438424,6.055,1.508366722,0.933
Bangladesh,2015,2788.196,1.7665817651903945e-05,4.694,78.1391111111111,166.87004927674457,UNHEALTHY,552000000000.0,3497.4339479186465,4.382,6.19428023,0.604
Brazil,2015,10456.884999999997,5.096240715743273e-05,6.983,2.971551724137931,16.50862068965517,GOOD,3020000000000.0,14718.194721989092,8.538,9.029901024,0.752
Canada,2015,11215.963,0.0003138902197798,7.427,6.710246753246753,37.27914862914862,GOOD,1570000000000.0,43938.059090812414,6.945,1.125241361,0.927
China,2015,76094.257,5.459812953383793e-05,5.14,49.55708553971486,135.61292419326776,UNHEALTHY FOR SENSITIVE,18300000000000.0,13130.370278393468,4.65,1.437023809,0.741
Germany,2015,10139.255,0.0001235391217443,6.75,5.628136645962733,31.26742581090407,GOOD,3630000000000.0,44228.79313440465,4.624,0.514426137,0.941
Spain,2015,5440.409000000001,0.0001171710429058,6.329,5.815034482758621,32.305747126436785,GOOD,1490000000000.0,32090.39135287577,22.058,-0.50036571,0.889
France,2015,7938.98,0.0001244163746215,6.575,4.719629746835443,26.220165260196904,GOOD,2460000000000.0,38552.09127229549,10.354,0.037514381,0.893
United Kingdom,2015,6827.641,0.0001046792971608,6.867,6.001604395604395,33.342246642246636,GOOD,2430000000000.0,37256.014500592784,5.301,0.368046842,0.923
Indonesia,2015,5820.060999999999,2.2463301525425903e-05,5.399,31.486,92.7077566539924,MODERATE,2680000000000.0,10343.81737375973,4.514,6.363121131,0.698
India,2015,18440.467,1.393977862740744e-05,4.565,11.167141414141414,54.85132810999731,MODERATE,7390000000000.0,5586.353320473986,7.894,4.906973441,0.619
Iran,2015,7522.797,9.197602401677018e-05,4.686,29.829,89.62057034220533,MODERATE,1330000000000.0,16260.988026435429,11.166,12.48468156,0.782
South Korea,2015,8683.875,0.0001702907707741,5.984,21.76185,74.59051901140684,MODERATE,1800000000000.0,35297.996273943514,3.546,0.706331772,0.908
Mexico,2015,6558.061000000001,5.458232772835693e-05,7.187,14.601370370370368,61.24970145049993,MODERATE,1920000000000.0,15980.03880086588,4.311,2.72064065,0.769
Netherlands,2015,4110.108,0.0002411878099489,7.378,7.277761904761904,40.43201058201058,GOOD,761000000000.0,44656.71543696391,6.873,0.600248147,0.932
Philippines,2015,2962.758,2.8755885586679623e-05,5.073,27.33333333333333,84.97084917617236,MODERATE,763000000000.0,7405.512263450662,3.068,0.674192537,0.696
Thailand,2015,4829.2390000000005,6.870018736056501e-05,6.455,13.935,60.00817490494297,MODERATE,1000000000000.0,14225.88266196082,0.597,-0.900424963,0.789
Turkey,2015,5419.784,6.804826386140622e-05,5.332,5.443632653061224,30.24240362811791,GOOD,1730000000000.0,21721.067939281857,10.304,7.670853648,0.821
United States,2015,55432.831000000006,0.0001707686478835,7.119,7.2360246913580255,40.20013717421125,GOOD,16900000000000.0,52062.831667963495,5.28,0.118627136,0.924
Vietnam,2015,3819.65,4.143173875220466e-05,5.36,16.3512,64.5098403041825,MODERATE,556000000000.0,6030.931301618155,1.849,0.631200905,0.697
Australia,2016,5344.46,0.0002208846478792,7.313,4.224275862068966,23.468199233716476,GOOD,1170000000000.0,48355.68757530778,5.711,1.276990945,0.936
Bangladesh,2016,2792.2580000000003,1.7475141029882635e-05,4.643,68.84266666666666,160.3532284215546,UNHEALTHY,590000000000.0,3692.4715436864194,4.35,5.513525727,0.613
Brazil,2016,10355.424,5.00601606160051e-05,6.952,2.674285714285714,14.857142857142854,GOOD,2920000000000.0,14115.855516754786,11.58,8.739143523,0.753
