Country,Nitrogen Oxide,Sulphur Dioxide,Carbon Monoxide,Organic Carbon,NMVOCs,Black Carbon,Ammonia,Total Air Pollutants
Australia,1158540.7,1188069.21,1950000.17,27747.38,819552.9,25170.44,545277.06,5716372.860000001
Bangladesh,657924.22,224740.5,3209035.43,130535.52,912957.15,45454.78,1016031.38,6198693.98
Brazil,3571672.11,1745115.7,15818534.52,464692.23,4488640.37,170846.42,3060177.13,29321693.48
Canada,1744866.32,1111109.72,5564814.7,69647.4,1925299.27,22103.29,478833.15,10918688.85
China,25236844.22,19255302.47,170649619.8,2055972.71,29903762.74,1326455.45,12375151.65,260805124.04000002
Egypt,735834.54,803036.0,1944242.29,90442.5,831821.4,61996.23,470582.89,4939970.850000001
France,979600.21,164264.39,2517251.93,69449.58,731901.21,27375.28,710202.16,5202059.760000001
Germany,1152917.29,342904.33,2806765.33,86169.52,1030872.28,33547.69,699583.28,6154774.720000001
India,9261419.39,9505318.36,56574316.71,2594825.38,11272513.44,921665.73,9796483.17,99928557.18
Indonesia,3943088.32,2060332.1,25101704.57,763519.17,8337952.33,263416.5,1920900.13,42392928.120000005
Iran,2359171.76,2458084.77,9596261.27,36978.49,3232419.17,82712.66,546708.64,18314351.76
Italy,728870.14,123291.58,2265328.76,58473.21,875725.29,18975.85,429486.12,4502165.949999999
Japan,1920356.03,702438.13,4128729.52,61770.75,1066775.44,50173.5,438797.62,8371055.989999999
Malaysia,882033.84,331504.41,4284004.15,42978.66,1673068.07,34748.29,271808.25,7522160.670000001
Mexico,2069843.67,2903289.98,8928542.52,154940.85,2397696.91,71981.04,850983.58,17379293.549999997
Netherlands,241610.28,31149.35,573065.32,9527.11,225563.46,4271.33,157741.96,1244943.81
Nigeria,615721.3,92758.4,23707818.32,642173.45,5232820.68,191193.7,1256079.57,31740580.419999998
Pakistan,1440017.63,1296484.48,10984803.55,484631.78,2713741.68,153070.89,1859020.69,18933785.700000003
Philippines,566339.32,436230.85,3184512.99,85073.58,1189856.04,39238.38,484889.12,5988155.28
Poland,695583.33,711367.25,2340228.08,88735.63,634449.51,29264.8,329212.53,4830856.13
Russia,3771115.05,5301200.87,7863406.04,281401.4,4176210.78,164387.18,1178007.45,22737743.77
Saudi Arabia,2251745.99,3771428.04,1795513.9,34578.95,1774376.05,99288.23,118055.47,9847001.63
South Korea,1024785.49,317998.59,920226.66,55073.58,965997.95,27905.15,297752.28,3611754.7
Spain,747745.29,263144.07,1278694.69,28055.57,502824.58,13875.03,497706.02,3334060.2499999995
Thailand,1082939.05,457175.78,11387595.78,221487.63,3244526.66,99281.14,705405.56,17200426.6
Turkey,890441.84,2084003.43,1581344.29,64990.61,625142.48,59879.31,709693.47,6017510.43
United Arab Emirates,558596.18,554012.01,850930.87,6185.39,940461.99,16860.56,20724.79,2949786.79
United Kingdom,935750.28,240162.35,1654191.72,31461.91,797359.0,15914.97,352355.56,4029210.7900000005
United States,9862492.32,3655967.34,35682142.26,376771.3,11795045.13,159738.49,3257383.84,64791555.68000001
Vietnam,917325.1,508118.33,10231802.65,214056.91,2292300.32,75755.97,648530.61,14889904.89
