Country,CPI
United Arab Emirates,1.617488089
Australia,1.276990945
Bangladesh,5.513525727
Brazil,8.739143523
Canada,1.428759547
China,2.000001822
Germany,0.491747008
Egypt,13.81360621
Spain,-0.202598
France,0.183334861
United Kingdom,1.008417368
Indonesia,3.525805157
India,4.948216341
Iran,7.24542549
Italy,-0.094016657
Japan,-0.127258844
South Korea,0.97168574
Mexico,2.821707847
Malaysia,2.090566595
Nigeria,15.69681264
Netherlands,0.316666667
Pakistan,3.765119164
Philippines,1.253698801
Poland,-0.664767331
Russia,7.04244763
Saudi Arabia,2.068840361
Thailand,0.188149704
Turkey,7.775134153
United States,1.261583206
Vietnam,2.66824817
