Country,Happiness Score
Netherlands,7.376999855
Canada,7.315999985
Australia,7.28399992
United States,6.993000031
Germany,6.951000214
United Kingdom,6.714000225
United Arab Emirates,6.647999763
Brazil,6.635000229
Mexico,6.578000069
France,6.441999912
Thailand,6.423999786
Spain,6.402999878
Saudi Arabia,6.343999863
Malaysia,6.084000111
Poland,5.97300005
Italy,5.964000225
Russia,5.962999821
Japan,5.920000076
South Korea,5.837999821
Turkey,5.5
Philippines,5.429999828
China,5.272999763
Pakistan,5.269000053
Indonesia,5.262000084
Vietnam,5.073999882
Nigeria,5.073999882
Egypt,4.735000134
Iran,4.691999912
Bangladesh,4.607999802
India,4.315000057
