Country,Unemployed Rate
United Arab Emirates,2.462
Australia,5.592
Bangladesh,4.372
Brazil,12.792
Canada,6.426
China,4.47
Germany,3.746
"Egypt, Arab Rep.",11.767
Spain,17.224
France,9.41
United Kingdom,4.33
Indonesia,3.783
India,7.723
"Iran, Islamic Rep.",12.232
Italy,11.211
Japan,2.822
"Korea, Rep.",3.653
Mexico,3.419
Malaysia,3.41
Nigeria,4.826
Netherlands,4.839
Pakistan,3.193
Philippines,2.552
Poland,4.888
Russian Federation,5.212
Saudi Arabia,5.89
Thailand,0.83
Turkiye,10.919
United States,4.355
Viet Nam,1.874
