Country,Population,biofuel_consumption,coal_consumption,fossil_fuel_consumption,gas_consumption,hydro_consumption,low_carbon_consumption,nuclear_consumption,oil_consumption,other_renewable_consumption,renewables_consumption,solar_consumption,wind_consumption,total_consumption,Energy Consumption Per Capita
Australia,25357168.0,1.514,486.392,1530.746,440.57,36.958,149.098,0.0,603.784,11.07,149.098,48.229,51.327,5527.785999999999,0.00021799697821144694
Bangladesh,165516224.0,0.0,48.065,479.281,309.344,2.17,3.181,0.0,121.873,0.012,3.181,0.986,0.013,2987.106,1.8047209680182168e-05
Brazil,211782880.0,264.483,179.512,1838.441,357.333,1048.793,1694.51,40.797,1301.595,175.319,1653.713,17.541,147.577,10738.613999999998,5.070576998480707e-05
Canada,37522584.0,24.755,169.154,2652.247,1186.542,1006.336,1415.603,254.196,1296.55,32.903,1161.407,10.754,86.659,11316.106,0.0003015812024033313
China,1421864064.0,36.053,22922.236,33897.516,3083.768,3354.375,6291.029,882.026,7891.51,359.759,5409.004,590.458,1068.36,87805.094,6.1753508104696e-05
Egypt,105618672.0,0.0,22.941,996.942,590.387,37.113,54.164,0.0,383.614,0.0,54.164,3.925,13.126,4175.375999999999,3.953255537998053e-05
France,64399760.0,34.182,79.423,1388.441,436.62,147.688,1341.122,1009.287,872.398,28.017,331.834,30.704,91.245,7809.960999999999,0.00012127313828498739
Germany,83148144.0,32.16,624.218,2809.212,892.83,52.01,885.628,189.89,1292.164,160.513,695.738,119.201,331.853,10104.417,0.00012152306129647343
India,1383112064.0,12.996,4989.023,8373.467,592.498,427.202,943.882,114.238,2791.946,100.591,829.644,121.96,166.895,21483.342000000004,1.5532611246170147e-05
Indonesia,269582880.0,58.482,801.231,2109.228,454.684,55.78,190.401,0.0,853.313,74.551,190.401,0.312,1.276,6808.659,2.5256273692157306e-05
Iran,86564208.0,0.0,18.933,3155.206,2183.896,89.267,108.766,16.215,952.377,0.034,92.55,1.346,1.903,8639.492999999999,9.980444804624099e-05
Italy,59727936.0,9.359,77.534,1494.493,707.906,122.194,325.063,0.0,709.052,77.814,325.063,62.443,53.252,5983.173000000001,0.00010017377797886738
Japan,125791680.0,4.781,1362.594,4556.221,1081.233,194.849,649.316,166.025,2112.394,86.268,483.291,177.742,19.652,12913.366,0.00010265675758523935
Malaysia,32804024.0,7.531,244.729,1156.726,452.151,69.052,84.055,0.0,459.846,3.626,84.055,3.846,0.0,4584.617,0.00013975776264521695
Mexico,125085312.0,2.696,150.415,2058.36,933.893,62.215,183.054,28.304,974.052,19.481,154.75,26.266,44.092,6656.577999999999,5.321630408532697e-05
Netherlands,17363260.0,8.081,74.694,941.012,371.611,0.196,81.317,9.89,494.707,18.584,71.428,14.233,30.335,4135.088,0.00023815159134862922
Nigeria,203304496.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019.0,9.930916628621926e-06
Pakistan,223293280.0,0.0,156.562,851.917,444.73,95.254,130.599,23.227,250.625,1.973,107.372,1.846,8.299,4091.4039999999995,1.83230055109585e-05
Philippines,110380800.0,6.108,203.311,502.417,42.16,21.203,63.705,0.0,256.946,30.363,63.705,3.285,2.746,3214.948999999999,2.9125980242940793e-05
Poland,38493600.0,11.435,516.078,1104.451,208.888,5.162,82.817,0.0,379.485,24.526,82.817,1.873,39.821,4476.352999999999,0.00011628824012303342
Russia,145742288.0,1.565,990.76,7322.611,4443.127,512.37,1047.418,528.623,1888.724,1.435,518.796,2.597,0.83,19277.856000000003,0.00013227359241128425
Saudi Arabia,35827364.0,0.0,1.173,2966.819,1111.5,0.0,0.0,0.0,1854.147,0.0,0.0,0.545,0.015,7953.1990000000005,0.0002219867194248508
South Korea,51803832.0,8.138,955.366,2991.021,560.338,7.351,471.654,369.074,1475.317,42.618,102.581,37.412,7.062,9046.931999999999,0.0001746382777243197
Spain,47131372.0,25.091,58.984,1154.336,359.745,59.273,429.535,147.41,735.607,17.995,282.125,39.825,139.941,5468.866999999999,0.00011603453852351252
Thailand,71307768.0,25.85,198.453,1373.846,509.396,16.633,105.899,0.0,665.997,40.178,105.899,13.565,9.674,5084.39,7.130204944852572e-05
Turkey,83481688.0,1.809,487.526,1497.671,433.613,234.134,351.496,0.0,576.531,33.888,351.496,24.382,57.282,6068.828,7.269651758838418e-05
United Arab Emirates,9211660.0,0.0,20.668,1209.43,671.891,0.0,0.0,0.0,516.871,0.0,0.0,9.637,0.0,4447.496999999999,0.0004828116756371815
United Kingdom,66778660.0,19.071,68.913,1701.406,778.738,15.639,497.662,142.116,853.756,119.836,355.546,32.734,168.267,6772.684000000001,0.00010141988473563263
United States,334319680.0,415.87,3150.46,21948.141,8509.999,752.485,4630.352,2155.132,10287.683,234.433,2475.22,284.616,787.816,57651.207,0.00017244335421713733
Vietnam,95776712.0,0.0,580.664,1012.627,98.43,174.283,190.008,0.0,333.533,1.117,190.008,12.7,1.908,4614.277999999999,4.817745257323095e-05
