Country,GDP
Australia,1260000000000.0
Bangladesh,717000000000.0
Brazil,3050000000000.0
Canada,1710000000000.0
China,23600000000000.0
Egypt,1290000000000.0
France,2640000000000.0
Germany,3890000000000.0
India,9600000000000.0
Indonesia,3270000000000.0
Iran,1440000000000.0
Italy,2120000000000.0
Japan,4830000000000.0
Malaysia,829000000000.0
Mexico,2050000000000.0
Netherlands,835000000000.0
Nigeria,1080000000000.0
Pakistan,1170000000000.0
Philippines,986000000000.0
Poland,1120000000000.0
Russia,3710000000000.0
Saudi Arabia,1690000000000.0
South Korea,2020000000000.0
Spain,1650000000000.0
Thailand,1150000000000.0
Turkey,1990000000000.0
United Arab Emirates,735000000000.0
United Kingdom,2620000000000.0
United States,18500000000000.0
Vietnam,732000000000.0
