Country,pm10_concentration,pm25_concentration,no2_concentration,Total Air Pollutants Concentration
Canada,141.0,1043.317,1451.466,2635.783
China,0.0,9316.02,0.0,9316.02
France,3974.479,1254.147,3004.083,8232.709
Germany,3686.781,1509.5,5139.141,10335.422
India,17273.202,3553.156,4200.362,25026.72
Indonesia,99.559,94.64,173.95,368.149
Italy,8615.546,3391.617,6826.539,18833.702
Netherlands,575.962,223.198,539.349,1338.509
Pakistan,0.0,32.294,21.062,53.355999999999995
Poland,4587.73,1635.433,1544.4759999999999,7767.639
Saudi Arabia,1587.353,0.0,0.0,1587.353
Spain,5432.079,1626.015,3008.942,10067.036
Turkey,7560.813,2071.166,4536.46,14168.439
United Arab Emirates,626.027,0.0,203.869,829.896
United Kingdom,820.083,449.753,1713.91,2983.746
United States,3044.58,2185.238,1378.588,6608.406
Vietnam,0.0,116.74,0.0,116.74
