Country,Population,Year,biofuel_consumption,coal_consumption,fossil_fuel_consumption,gas_consumption,hydro_consumption,low_carbon_consumption,nuclear_consumption,oil_consumption,other_renewable_consumption,renewables_consumption,solar_consumption,wind_consumption,total_consumption,Energy Consumption Per Capita,Happiness Score
Australia,23820240.0,2015,2.387,540.411,1500.658,389.95,37.935,100.613,0.0,570.297,11.741,100.613,16.684,31.866,5318.155000000001,0.0002232620242281,7.284
Australia,24195706.0,2016,1.856,540.062,1491.048,379.527,47.195,115.454,0.0,571.459,11.58,115.454,19.917,34.908,5344.46,0.0002208846478792,7.313
Australia,24590336.0,2017,1.834,521.526,1493.625,372.844,35.927,108.02,0.0,599.256,11.369,108.02,23.732,35.158,5328.311000000001,0.0002166831311292,7.28399992
Australia,24979228.0,2018,1.655,508.882,1490.425,371.908,45.801,134.563,0.0,609.635,11.454,134.563,32.627,43.025,5402.5380000000005,0.0002162812237431,7.272
Australia,25357168.0,2019,1.514,486.392,1530.746,440.57,36.958,149.098,0.0,603.784,11.07,149.098,48.229,51.327,5527.785999999999,0.0002179969782114,7.228
Australia,25670052.0,2020,1.203,468.061,1413.168,423.173,37.874,171.958,0.0,521.934,10.887,171.958,62.623,59.372,5362.210999999998,0.0002088897599428,7.222799778
Australia,25921094.0,2021,1.239,452.447,1383.704,395.757,41.717,205.371,0.0,535.5,10.675,205.371,81.624,70.116,5404.521,0.000208498954558,7.183
Australia,26177410.0,2022,1.35,429.006,1429.83,432.269,43.437,231.186,0.0,568.555,10.172,231.186,97.883,78.345,5575.218999999999,0.0002129782510951,7.162
Bangladesh,157830000.0,2015,0.0,30.633,381.858,258.541,2.419,3.16,0.0,92.684,0.011,3.16,0.716,0.014,2788.196,1.7665817651903945e-05,4.694
Bangladesh,159784576.0,2016,0.0,23.036,383.656,264.509,2.368,2.982,0.0,96.11,0.012,2.982,0.589,0.014,2792.2580000000003,1.7475141029882635e-05,4.643
Bangladesh,161793968.0,2017,0.0,25.117,399.297,265.927,2.74,3.541,0.0,108.254,0.012,3.541,0.776,0.014,2826.219,1.746801215728883e-05,4.607999802
Bangladesh,163683952.0,2018,0.0,28.569,427.053,274.29,2.29,3.148,0.0,124.194,0.012,3.148,0.833,0.013,2881.55,1.760435256353048e-05,4.5
Bangladesh,165516224.0,2019,0.0,48.065,479.281,309.344,2.17,3.181,0.0,121.873,0.012,3.181,0.986,0.013,2987.106,1.8047209680182168e-05,4.456
Bangladesh,167420944.0,2020,0.0,52.347,454.221,299.153,1.84,3.071,0.0,102.721,0.012,3.071,1.205,0.013,2937.6540000000005,1.7546514371583048e-05,4.832799911
Bangladesh,169356240.0,2021,0.0,42.311,488.968,306.089,1.784,3.413,0.0,140.567,0.012,3.413,1.603,0.013,3009.173,1.7768303075221793e-05,5.025
Bangladesh,171186368.0,2022,0.0,55.397,513.671,286.872,2.021,4.304,0.0,171.402,0.012,4.304,2.258,0.013,3062.2540000000004,1.788842205005483e-05,5.155
