Country,CPI,Year,Unemployed Rate,GDP,GDP per Capita,Population,biofuel_consumption,coal_consumption,fossil_fuel_consumption,gas_consumption,hydro_consumption,low_carbon_consumption,nuclear_consumption,oil_consumption,other_renewable_consumption,renewables_consumption,solar_consumption,wind_consumption,total_consumption,Energy Consumption Per Capita
Australia,1.508366722,2015,6.055,1.14E+12,47858.45986,23820240,2.387,540.411,1500.658,389.95,37.935,100.613,0,570.297,11.741,100.613,16.684,31.866,5318.155,0.000223262
Australia,1.276990945,2016,5.711,1.17E+12,48355.68758,24195706,1.856,540.062,1491.048,379.527,47.195,115.454,0,571.459,11.58,115.454,19.917,34.908,5344.46,0.000220885
Australia,1.948647409,2017,5.592,1.2E+12,48799.65853,24590336,1.834,521.526,1493.625,372.844,35.927,108.02,0,599.256,11.369,108.02,23.732,35.158,5328.311,0.000216683
Australia,1.911400944,2018,5.3,1.23E+12,49240.91329,24979228,1.655,508.882,1490.425,371.908,45.801,134.563,0,609.635,11.454,134.563,32.627,43.025,5402.538,0.000216281
Australia,1.610767873,2019,5.159,1.26E+12,49690.09157,25357168,1.514,486.392,1530.746,440.57,36.958,149.098,0,603.784,11.07,149.098,48.229,51.327,5527.786,0.000217997
Australia,0.846905537,2020,6.456,1.23E+12,47915.75802,25670052,1.203,468.061,1413.168,423.173,37.874,171.958,0,521.934,10.887,171.958,62.623,59.372,5362.211,0.00020889
Australia,2.863910422,2021,5.116,1.3E+12,50152.20422,25921094,1.239,452.447,1383.704,395.757,41.717,205.371,0,535.5,10.675,205.371,81.624,70.116,5404.521,0.000208499
Australia,6.594096713,2022,3.701,1.34E+12,51189.17418,26177410,1.35,429.006,1429.83,432.269,43.437,231.186,0,568.555,10.172,231.186,97.883,78.345,5575.219,0.000212978
Bangladesh,6.19428023,2015,4.382,5.52E+11,3497.433948,157830000,0,30.633,381.858,258.541,2.419,3.16,0,92.684,0.011,3.16,0.716,0.014,2788.196,1.77E-05
Bangladesh,5.513525727,2016,4.35,5.9E+11,3692.471544,159784576,0,23.036,383.656,264.509,2.368,2.982,0,96.11,0.012,2.982,0.589,0.014,2792.258,1.75E-05
