Country,CPI,Year,Unemployed Rate,GDP,Happiness Score
Australia,1.508366722,2015,6.055,1140000000000.0,7.284
Australia,1.276990945,2016,5.711,1170000000000.0,7.313
Australia,1.948647409,2017,5.592,1200000000000.0,7.28399992
Australia,1.911400944,2018,5.3,1230000000000.0,7.272
Australia,1.610767873,2019,5.159,1260000000000.0,7.228
Australia,0.846905537,2020,6.456,1230000000000.0,7.222799778
Australia,2.863910422,2021,5.116,1300000000000.0,7.183
Australia,6.594096713,2022,3.701,1340000000000.0,7.162
Bangladesh,6.19428023,2015,4.382,552000000000.0,4.694
Bangladesh,5.513525727,2016,4.35,590000000000.0,4.643
Bangladesh,5.702070157,2017,4.372,631000000000.0,4.607999802
Bangladesh,5.543621395,2018,4.532,679000000000.0,4.5
Bangladesh,5.591996399,2019,4.693,717000000000.0,4.456
Bangladesh,5.691074747,2020,5.828,754000000000.0,4.832799911
Bangladesh,5.545654308,2021,5.815,807000000000.0,5.025
Bangladesh,7.696954372,2022,5.247,858000000000.0,5.155
Brazil,9.029901024,2015,8.538,3020000000000.0,6.983
Brazil,8.739143523,2016,11.58,2920000000000.0,6.952
Brazil,3.44637335,2017,12.792,2960000000000.0,6.635000229
Brazil,3.664850284,2018,12.33,3010000000000.0,6.419
Brazil,3.732976212,2019,11.936,3050000000000.0,6.3
Brazil,3.211768038,2020,13.697,2950000000000.0,6.375599861
Brazil,8.301659756,2021,13.159,3100000000000.0,6.33
Brazil,9.28010609,2022,9.231,3190000000000.0,6.293
Canada,1.125241361,2015,6.945,1570000000000.0,7.427
Canada,1.428759547,2016,7.038,1580000000000.0,7.404
Canada,1.596884129,2017,6.426,1630000000000.0,7.315999985
Canada,2.268225672,2018,5.837,1680000000000.0,7.328
Canada,1.949269024,2019,5.69,1710000000000.0,7.278
Canada,0.716999632,2020,9.657,1620000000000.0,7.23210001
Canada,3.395193185,2021,7.527,1700000000000.0,7.103
Canada,6.802801153,2022,5.28,1760000000000.0,7.025
China,1.437023809,2015,4.65,18300000000000.0,5.14
China,2.000001822,2016,4.56,19500000000000.0,5.245
China,1.593136001,2017,4.47,20900000000000.0,5.272999763
China,2.0747904,2018,4.31,22300000000000.0,5.246
China,2.899234164,2019,4.56,23600000000000.0,5.191
China,2.419421895,2020,5.0,24200000000000.0,5.123899937
China,0.981015136,2021,4.55,26200000000000.0,5.339
China,1.973575557,2022,4.98,27000000000000.0,5.585
Egypt,10.37049034,2015,13.052,1080000000000.0,4.194
Egypt,13.81360621,2016,12.45,1120000000000.0,4.362
Egypt,29.50660839,2017,11.767,1160000000000.0,4.735000134
Egypt,14.40146578,2018,9.855,1220000000000.0,4.419
Egypt,9.152799593,2019,7.851,1290000000000.0,4.166
Egypt,5.04493289,2020,7.974,1310000000000.0,4.151400089
Egypt,5.214049405,2021,7.441,1400000000000.0,4.283
Egypt,13.89566098,2022,7.344,1460000000000.0,4.288
France,0.037514381,2015,10.354,2460000000000.0,6.575
France,0.183334861,2016,10.057,2490000000000.0,6.478
France,1.032282751,2017,9.41,2550000000000.0,6.441999912
France,1.850815083,2018,9.018,2600000000000.0,6.489
France,1.108254923,2019,8.415,2640000000000.0,6.592
France,0.476498853,2020,8.01,2440000000000.0,6.663799763
France,1.64233141,2021,7.874,2600000000000.0,6.69
France,5.222367484,2022,7.308,2670000000000.0,6.687
Germany,0.514426137,2015,4.624,3630000000000.0,6.75
Germany,0.491747008,2016,4.122,3710000000000.0,6.994
Germany,1.509494851,2017,3.746,3810000000000.0,6.951000214
Germany,1.732168798,2018,3.384,3850000000000.0,6.965
Germany,1.445659769,2019,3.136,3890000000000.0,6.985
Germany,0.144877926,2020,3.856,3740000000000.0,7.075799942
Germany,3.066666667,2021,3.638,3840000000000.0,7.155
Germany,6.872574386,2022,3.135,3910000000000.0,7.034
India,4.906973441,2015,7.894,7390000000000.0,4.565
India,4.948216341,2016,7.8,8060000000000.0,4.404
India,3.328173375,2017,7.723,8550000000000.0,4.315000057
India,3.938826467,2018,7.652,9170000000000.0,4.19
India,3.729505735,2019,6.51,9600000000000.0,4.015
India,6.623436776,2020,7.859,8950000000000.0,3.573299885
India,5.131407472,2021,6.38,9800000000000.0,3.819
India,6.699034141,2022,4.822,10500000000000.0,3.777
Indonesia,6.363121131,2015,4.514,2680000000000.0,5.399
Indonesia,3.525805157,2016,4.301,2820000000000.0,5.314
Indonesia,3.80879807,2017,3.783,2960000000000.0,5.262000084
Indonesia,3.198346416,2018,4.387,3120000000000.0,5.093
Indonesia,3.03058665,2019,3.59,3270000000000.0,5.192
Indonesia,1.920968006,2020,4.255,3200000000000.0,5.285600185
Indonesia,1.560129905,2021,3.827,3320000000000.0,5.345
Indonesia,4.209463834,2022,3.462,3500000000000.0,5.24
Iran,12.48468156,2015,11.166,1330000000000.0,4.686
Iran,7.24542549,2016,12.618,1410000000000.0,4.813
Iran,8.044924377,2017,12.232,1490000000000.0,4.691999912
Iran,18.01411834,2018,12.195,1480000000000.0,4.707
Iran,39.90734557,2019,10.74,1440000000000.0,4.548
Iran,30.59413904,2020,9.687,1450000000000.0,4.672399998
Iran,43.38901627,2021,9.282,1530000000000.0,4.721
Iran,43.48846417,2022,9.085,1570000000000.0,4.888
Italy,0.0387904,2015,11.896,2030000000000.0,5.948
Italy,-0.094016657,2016,11.688,2050000000000.0,5.977
Italy,1.226533166,2017,11.211,2090000000000.0,5.964000225
Italy,1.137487636,2018,10.61,2110000000000.0,6.0
Italy,0.611246944,2019,9.952,2120000000000.0,6.223
Italy,-0.137707574,2020,9.164,1930000000000.0,6.38740015
Italy,1.873783258,2021,9.497,2060000000000.0,6.483
Italy,8.201289912,2022,8.069,2140000000000.0,6.467
Japan,0.795279631,2015,3.385,4710000000000.0,5.987
Japan,-0.127258844,2016,3.132,4740000000000.0,5.921
Japan,0.484199796,2017,2.822,4820000000000.0,5.920000076
Japan,0.989094598,2018,2.467,4850000000000.0,5.915
Japan,0.468776159,2019,2.351,4830000000000.0,5.886
Japan,-0.024995834,2020,2.809,4630000000000.0,5.870800018
Japan,-0.233352779,2021,2.828,4730000000000.0,5.94
Japan,2.497702782,2022,2.6,4770000000000.0,6.039
Malaysia,2.104389802,2015,3.1,685000000000.0,5.77
Malaysia,2.090566595,2016,3.44,716000000000.0,6.005
Malaysia,3.871201158,2017,3.41,757000000000.0,6.084000111
Malaysia,0.884709161,2018,3.3,794000000000.0,6.322
Malaysia,0.662891866,2019,3.26,829000000000.0,5.339
Malaysia,-1.138702154,2020,4.54,783000000000.0,5.384300232
Malaysia,2.477102415,2021,4.64,807000000000.0,5.384
Malaysia,3.378698625,2022,3.93,878000000000.0,5.711
Mexico,2.72064065,2015,4.311,1920000000000.0,7.187
Mexico,2.821707847,2016,3.853,1960000000000.0,6.778
Mexico,6.04145724,2017,3.419,2010000000000.0,6.578000069
Mexico,4.899350154,2018,3.275,2050000000000.0,6.488
