Country,CPI,Year,Unemployed Rate,GDP,GDP per Capita,Population,total_consumption,Energy Consumption Per Capita,Happiness Score
Australia,1.508366722,2015,6.055,1.14E+12,47858.45986,23820240,5318.155,0.000223262,7.284
Australia,1.276990945,2016,5.711,1.17E+12,48355.68758,24195706,5344.46,0.000220885,7.313
Australia,1.948647409,2017,5.592,1.2E+12,48799.65853,24590336,5328.311,0.000216683,7.28399992
Australia,1.911400944,2018,5.3,1.23E+12,49240.91329,24979228,5402.538,0.000216281,7.272
Australia,1.610767873,2019,5.159,1.26E+12,49690.09157,25357168,5527.786,0.000217997,7.228
Australia,0.846905537,2020,6.456,1.23E+12,47915.75802,25670052,5362.211,0.00020889,7.222799778
Australia,2.863910422,2021,5.116,1.3E+12,50152.20422,25921094,5404.521,0.000208499,7.183
Australia,6.594096713,2022,3.701,1.34E+12,51189.17418,26177410,5575.219,0.000212978,7.162
Bangladesh,6.19428023,2015,4.382,5.52E+11,3497.433948,157830000,2788.196,1.77E-05,4.694
Bangladesh,5.513525727,2016,4.35,5.9E+11,3692.471544,159784576,2792.258,1.75E-05,4.643
Bangladesh,5.702070157,2017,4.372,6.31E+11,3900.021786,161793968,2826.219,1.75E-05,4.607999802
Bangladesh,5.543621395,2018,4.532,6.79E+11,4148.238063,163683952,2881.55,1.76E-05,4.5
Bangladesh,5.591996399,2019,4.693,7.17E+11,4331.901627,165516224,2987.106,1.80E-05,4.456
Bangladesh,5.691074747,2020,5.828,7.54E+11,4503.618138,167420944,2937.654,1.75E-05,4.832799911
Bangladesh,5.545654308,2021,5.815,8.07E+11,4765.103429,169356240,3009.173,1.78E-05,5.025
Bangladesh,7.696954372,2022,5.247,8.58E+11,5012.081336,171186368,3062.254,1.79E-05,5.155
Brazil,9.029901024,2015,8.538,3.02E+12,14718.19472,205188208,10456.885,5.10E-05,6.983
Brazil,8.739143523,2016,11.58,2.92E+12,14115.85552,206859584,10355.424,5.01E-05,6.952
Brazil,3.44637335,2017,12.792,2.96E+12,14196.30497,208504960,10419.975,5.00E-05,6.635000229
Brazil,3.664850284,2018,12.33,3.01E+12,14321.97178,210166592,10549.001,5.02E-05,6.419
Brazil,3.732976212,2019,11.936,3.05E+12,14401.54181,211782880,10738.614,5.07E-05,6.3
Brazil,3.211768038,2020,13.697,2.95E+12,13837.01286,213196304,10461.567,4.91E-05,6.375599861
